,,,,,
parentId,number,非必须,,主政策id,
policyId,number,非必须,,政策id,
agentId,number,非必须,,代理商id,
^RES$,,,,,
,,,,,
CST_RATE_MAX,number,非必须,,最大交易费率,
CST_RATE_MIN,number,非必须,,最小交易费率,
CST_FEE_MAX,number,非必须,,最大交易手续费,
CST_FEE_MIN,number,非必须,,最小交易手续费,
CST_ACTIVATION_PRICE_MAX,number,非必须,,最大激活金额,
CST_ACTIVATION_PRICE_MIN,number,非必须,,最小激活金额,
CST_ACTIVITY_PRICE_MAX,number,非必须,,最大活动金额,
CST_ACTIVITY_PRICE_MIN,number,非必须,,最小活动金额,
CST_90VIP_MAX,number,非必须,,最大90天金额,
CST_90VIP_MIN,number,非必须,,最小90天金额,
CST_150VIP_MAX,number,非必须,,最大150天金额,
CST_150VIP_MIN,number,非必须,,最小150天金额,
