parentId,number,必须,,"政策id(选择主政策时，传主政策id,选择普通政策时，传0)",
agentId,string,必须,,代理商id,
txnRate,string,必须,,用户费率,
txnFee,string,必须,,用户手续费,
agentRate,string,必须,,代理商费率,
agentFee,string,必须,,代理商手续费,
activationPrice,string,必须,,激活返现单价,
activityPrice,string,必须,,活动返现单价,
vip90Price,string,必须,,90天VIP返现,
vip150Price,string,必须,,150天VIP返现,
policyType,number,必须,,政策类型,
cashList:cashList,object?[],必须,,,item 类型:?object
cashList:policyId,number,必须,,子政策id,
cashList:activationPrice,number,必须,,激活返现金额,
cashList:activityPrice,number,非必须,,活动返现金额,
